frame_idx,video_time_ms,landmarks_found,metrics_valid,reject_reason,selected_side,left_min_visibility,right_min_visibility,selected_min_visibility,foot_min_visibility,consecutive_failures,stage_heavy,rep_heavy,hip_y_raw,hip_y_heavy,hip_change_heavy,hip_angle_heavy_raw,hip_angle_heavy,knee_angle_heavy_raw,knee_angle_heavy,trunk_vert_heavy_raw,trunk_vert_heavy,heel_angle_heavy_raw,heel_angle_heavy,trunk_max_heavy,heel_max_heavy,trunk_score_heavy,heel_score_heavy,score_heavy
0,0,True,True,,left,0.997208297252655,0.3896096646785736,0.997208297252655,0.9910469651222229,0,down,0,290.18094062805176,290.18094062805176,0.0,79.83297198347731,79.83297198347731,99.42649020502566,99.42649020502566,27.900571712912736,27.900571712912736,0.6200462563725575,0.6200462563725575,27.900571712912736,0.0,55.782134305737955,0.0,0.0
1,33,True,True,,left,0.9971795082092285,0.383608341217041,0.9971795082092285,0.990740954875946,0,down,0,292.11124420166016,291.14609241485596,0.9651517868041992,77.82711444859167,78.83004321603448,96.98061404841945,98.20355212672256,28.49668082524665,28.198626269079693,0.050332863817952905,0.3351895600952552,28.198626269079693,0.0,54.6997256543948,0.0,0.0
2,67,True,True,,left,0.996292233467102,0.3645140528678894,0.996292233467102,0.9886504411697388,0,down,0,292.62064933776855,291.63761138916016,0.4915189743041992,77.4893046193178,78.38313035046225,96.38116354021997,97.59608926455503,28.485824284559953,28.29435894090645,0.4663134979248741,0.3788975393717948,28.29435894090645,0.0,54.352064898813424,0.0,0.0
3,100,True,True,,left,0.9945446848869324,0.34362587332725525,0.9945446848869324,0.9852307438850403,0,down,0,292.7921676635742,291.9262504577637,0.2886390686035156,77.40595966790262,78.13883767982234,96.18773293762068,97.24400018282145,28.426330582043853,28.327351851190798,0.04723688579459313,0.2959823759774944,28.327351851190798,0.0,54.23224854041237,0.0,0.0
4,133,True,True,,left,0.99232417345047,0.32382845878601074,0.99232417345047,0.9809496998786926,0,down,0,293.2123374938965,292.18346786499023,0.2572174072265625,77.17366479901575,77.94580310366102,95.73291759460592,96.94178366517835,28.39316437457766,28.34051435586817,0.3111405364126241,0.29901400806452033,28.34051435586817,0.0,54.18444786553138,0.0,0.0
5,167,True,True,,left,0.9919258952140808,0.3115192651748657,0.9919258952140808,0.9798154830932617,0,down,0,293.16590309143066,292.780460357666,0.5969924926757812,77.15734493159498,77.41067769328455,95.67628121387857,96.19174186694892,28.396838647926344,28.43976774287089,0.25844671368223127,0.2266940995264551,28.43976774287089,0.0,53.82400135483729,0.0,0.0
6,200,True,True,,left,0.9918076395988464,0.2990301549434662,0.9918076395988464,0.9795557856559753,0,down,0,293.5323429107666,293.0646800994873,0.28421974182128906,76.97405108599237,77.2400650207647,95.30447361260735,95.8565137797865,28.337083902252687,28.407848358272098,0.7010441180589128,0.3568363503746471,28.43976774287089,0.0,53.82400135483729,0.0,0.0
7,233,True,True,,left,0.9916307330131531,0.2910323441028595,0.9916307330131531,0.978855550289154,0,down,0,293.5099983215332,293.24254989624023,0.1778697967529297,76.94355630174648,77.13091535725043,95.23139698162561,95.62656046806762,28.326042261761224,28.37589195371235,0.04606917568250598,0.27278748592617347,28.43976774287089,0.0,53.82400135483729,0.0,0.0
8,267,True,True,,left,0.9907200336456299,0.2792847156524658,0.9907200336456299,0.9770966172218323,0,down,0,293.57059478759766,293.3982353210449,0.1556854248046875,76.89909563647174,77.02954255096427,95.1174846810413,95.41251081675175,28.30218999260272,28.351063835824128,0.18784317028182,0.30090874282361885,28.43976774287089,0.0,53.82400135483729,0.0,0.0
9,300,True,True,,left,0.9900984168052673,0.2688751816749573,0.9900984168052673,0.9756874442100525,0,down,0,293.83692741394043,293.5231533050537,0.12491798400878906,76.80724063494624,76.95625771815035,94.84711042782418,95.2353493833954,28.231335621241577,28.31869808515691,0.03186899414115684,0.24505443436932534,28.43976774287089,0.0,53.82400135483729,0.0,0.0
10,333,True,True,,left,0.9900747537612915,0.2625090479850769,0.9900747537612915,0.9753893613815308,0,down,0,293.81518363952637,293.65300941467285,0.12985610961914062,76.91767171672242,76.90832307517584,94.90551328559135,95.08119579773798,28.133175730941808,28.265965501760007,0.41092688044028636,0.2755504677209364,28.43976774287089,0.0,53.82400135483729,0.0,0.0
11,367,True,True,,left,0.9893031716346741,0.25160330533981323,0.9893031716346741,0.9739913940429688,0,down,0,293.893461227417,293.72523307800293,0.07222366333007812,76.90435875231917,76.89438460844123,94.83874123314412,94.9880493218453,28.10483249836215,28.219515220981897,0.0823561525315944,0.15181287461547271,28.43976774287089,0.0,53.82400135483729,0.0,0.0
12,400,True,True,,left,0.9893576502799988,0.24564345180988312,0.9893576502799988,0.9738234877586365,0,down,0,293.94641876220703,293.8125171661377,0.08728408813476562,76.8707548853837,76.87982432516864,94.75277371507069,94.89232466853431,28.08790541980276,28.171887852590203,0.16325790634171525,0.17525062074731457,28.43976774287089,0.0,53.82400135483729,0.0,0.0
13,433,True,True,,left,0.9895262122154236,0.24250324070453644,0.9895262122154236,0.9741274118423462,0,down,0,293.9054203033447,293.8794822692871,0.06696510314941406,76.90802391160115,76.88160998019454,94.74283319189583,94.81739437070523,28.052552724467596,28.121960398963175,0.019153282026808903,0.14151264309631234,28.43976774287089,0.0,53.82400135483729,0.0,0.0
14,467,True,True,,left,0.9890605211257935,0.23498082160949707,0.9890605211257935,0.9731397032737732,0,down,0,293.9663028717041,293.90535736083984,0.025875091552734375,76.8963366915621,76.89942919151771,94.6752634742787,94.78302497999614,28.027029420632942,28.081099158841454,0.30990462751809733,0.19711976977170045,28.43976774287089,0.0,53.82400135483729,0.0,0.0
15,500,True,True,,left,0.9893293380737305,0.23248325288295746,0.9893293380737305,0.9734057188034058,0,down,0,293.96029472351074,293.9343795776367,0.029022216796875,76.9454033021328,76.90497550859979,94.67877508376833,94.73767733963152,27.974493372603426,28.049362687173776,0.2566693464019247,0.1662682629640281,28.43976774287089,0.0,53.82400135483729,0.0,0.0
16,533,True,True,,left,0.9884968400001526,0.2244221419095993,0.9884968400001526,0.9719113707542419,0,down,0,294.0061283111572,293.95691299438477,0.022533416748046875,76.92049917536428,76.90820359320881,94.6628249476517,94.70249408253304,27.971417193617064,28.02267962622476,0.28730598542085206,0.20725822954187967,28.43976774287089,0.0,53.82400135483729,0.0,0.0
17,567,True,True,,left,0.9892353415489197,0.21797488629817963,0.9892353415489197,0.9736714363098145,0,down,0,254.33246612548828,286.034122467041,-7.92279052734375,110.99432153490307,83.73291692311268,120.71090068845149,99.8941194772092,22.478792668810712,26.900857076026348,0.8604346075896895,0.3466935697914745,28.43976774287089,0.0,53.82400135483729,0.0,0.0
18,600,True,True,,left,0.9884040951728821,0.20261196792125702,0.9884040951728821,0.9732773303985596,0,down,0,242.15457916259766,275.6839542388916,-10.350168228149414,124.25392594363333,93.20209732951912,130.33147362082806,107.01184756299565,19.28285086215317,25.146916703563463,0.6488268682637441,0.47262828703886156,28.43976774287089,0.0,53.82400135483729,0.0,0.0
19,633,True,True,,left,0.9832395315170288,0.18864166736602783,0.9832395315170288,0.968528151512146,0,down2,0,233.48965644836426,263.58862495422363,-12.095329284667969,135.21485219173587,104.86580042955389,137.40423308352277,115.55764148484448,15.433150227126788,22.62814086486223,0.5279526282468893,0.5162378871846199,28.43976774287089,0.0,53.82400135483729,0.0,0.0
20,667,True,True,,left,0.9814208149909973,0.18115057051181793,0.9814208149909973,0.9664009809494019,0,down2,0,226.63999557495117,250.12456512451172,-13.464059829711914,144.78269054116763,118.43325787736084,143.96557127426863,125.41500072294453,11.87222462564472,19.40768711547049,0.5159185812512573,0.5680877341544865,28.43976774287089,0.0,53.82400135483729,0.0,0.0
21,700,True,True,,left,0.9765360355377197,0.17195652425289154,0.9765360355377197,0.9615916013717651,0,down2,0,219.19385433197021,235.16211032867432,-14.962454795837402,156.4217105140329,134.33350014509455,152.80061631734813,137.04255899688383,7.8541525102058785,15.384234178788253,0.08654550718045345,0.5279356385064067,28.43976774287089,0.0,53.82400135483729,0.0,0.0
22,733,True,True,,left,0.9668499231338501,0.16086694598197937,0.9668499231338501,0.9521659016609192,0,down2,0,211.7897129058838,226.65355968475342,-8.508550643920898,163.59662023378684,144.8539598848713,162.88882231539955,145.47814332227344,6.482540164469285,12.184983677919968,0.43195001339263794,0.44223871966699646,28.43976774287089,0.0,53.82400135483729,0.0,0.0
23,767,True,True,,left,0.956174373626709,0.15118856728076935,0.956174373626709,0.9441705346107483,0,down2,0,205.97741603851318,219.41812705993652,-7.2354326248168945,169.15791957560754,153.83475861126618,169.24678946227397,153.2612064905626,4.7242204769856215,9.273257600886458,2.1673136103132387,0.7459360680768954,28.43976774287089,0.0,53.82400135483729,0.0,0.0
24,800,True,True,,left,0.9504965543746948,0.14259620010852814,0.9504965543746948,0.9358190298080444,0,down2,0,198.2558012008667,212.371356010437,-7.046771049499512,173.81913782234068,161.5556157373871,173.03407275545013,160.38717442494809,2.974731064878867,6.781573768436874,4.593177058210513,1.55898095406962,28.43976774287089,0.0,53.82400135483729,0.0,0.0
25,833,True,True,,left,0.9482256770133972,0.13789184391498566,0.9482256770133972,0.9303997159004211,0,down2,0,191.75620079040527,205.39459705352783,-6.97675895690918,175.40500835881596,167.6800793009168,175.03410303272423,166.6008807766392,2.1275121096747256,4.832631265242876,9.99598888955633,3.454995015730634,28.43976774287089,0.0,53.82400135483729,0.0,0.0
26,867,True,True,,left,0.937415361404419,0.13124926388263702,0.937415361404419,0.916072428226471,0,down2,0,186.57779216766357,198.8713846206665,-6.523212432861328,175.36914226966582,171.46956565204337,174.78152213617923,170.99706194040542,1.680107864844686,3.597822336170637,17.204254083026953,6.878536730899934,28.43976774287089,0.0,53.82400135483729,0.0,0.0
27,900,True,True,,left,0.9175259470939636,0.12147323042154312,0.9175259470939636,0.8964954614639282,0,down2,0,181.59451961517334,192.8323459625244,-6.03903865814209,178.11190061512946,174.3726217283119,175.70004146738944,173.5593057708034,0.1893097752628421,2.3391762583293483,22.76497928783474,11.345142585788356,28.43976774287089,0.0,53.82400135483729,0.0,0.0
28,933,True,True,,left,0.854189932346344,0.10998932272195816,0.854189932346344,0.843738853931427,0,down2,0,178.51527214050293,187.33991718292236,-5.492428779602051,176.74109959839112,175.8892577328686,172.57081199174766,174.22411027669813,0.5394049856449641,1.502213160061217,22.796834197559146,15.471046703237537,28.43976774287089,0.0,53.82400135483729,0.0,0.0
29,967,True,True,,left,0.7948210835456848,0.09972578287124634,0.7948210835456848,0.8014771938323975,0,down2,0,178.60107421875,183.40897178649902,-3.93094539642334,176.94001155447683,176.51343247929586,170.81983724701374,173.78126317501088,1.536563974057998,1.2145797418970432,25.198852886421474,19.592181868879727,28.43976774287089,0.0,53.82400135483729,0.0,0.0
30,1000,True,True,,left,0.7369559407234192,0.0903962105512619,0.7369559407234192,0.7566773295402527,0,up,1,179.4384241104126,180.9454164505005,-2.463555335998535,175.7501622645355,176.58246326043974,169.4008660986772,172.65461578820145,1.556265749396971,1.1003304698414922,24.896524398148095,22.572288970598084,28.43976774287089,22.572288970598084,53.82400135483729,57.100823684245775,55.46241251954153
31,1033,True,True,,left,0.6846396327018738,0.08183667808771133,0.6846396327018738,0.7160723209381104,0,up,1,181.6195821762085,179.95377445220947,-0.9916419982910156,174.67506607931185,176.4436480223689,167.6192188391993,171.22215512880547,1.4979983918001523,1.0639085752325854,24.699955566275385,24.071429267247765,28.43976774287089,24.071429267247765,53.82400135483729,62.466167903834105,58.1450846293357
32,1067,True,True,,left,0.6360483169555664,0.07418855279684067,0.6360483169555664,0.6760858297348022,0,up,1,182.55676746368408,180.14622402191162,0.19244956970214844,174.4518028259083,175.71162846452472,167.30155494847162,169.5424578250219,1.4834967984776597,1.322745979875549,25.29679063131195,24.57779153594321,28.43976774287089,24.57779153594321,53.82400135483729,64.27841181284938,59.05120658384334
